fraba^Dijon Ville^47.323195^5.02743
frabf^Périgueux^45.187156^0.707175
frabg^Besançon Viotte^47.240934^6.03404
frace^Dole Ville^47.096412^5.48796
fracg^Dax^43.72079^-1.05054
frack^Cherbourg^49.634044^-1.61831
fracl^Angers St Laud^47.46444^-0.556956
fracr^Laval^48.076399^-0.76226
frade^Metz Ville^49.109211^6.17778
fradi^Dunkerque^51.030787^2.36772
fradj^Lille Flandres^50.635759^3.07247
fradm^Tourcoing^50.716291^3.16744
fradp^Roubaix^50.694853^3.16277
fraea^Calais Ville^50.953078^1.84994
fraeb^Boulogne Ville^50.715624^1.61036
fraee^Pau^43.29144^-0.369476
fraef^Hendaye^43.35314^-1.78212
fraeg^Strasbourg^48.584967^7.73458
fraej^Colmar^48.073201^7.34697
fraek^Mulhouse Ville^47.741786^7.34284
fraes^Avignon Centre^43.942015^4.05257
fraet^Le Mans^47.995285^0.192991
fraez^Le Havre^49.493006^0.125926
frafj^Albi ville^43.922212^2.13725
frafk^Orléans^47.908154^1.90476
frafw^Tours^47.388231^0.694722
fragf^Agen^44.208376^0.620312
fragq^Limoges Bénédictins^45.837218^1.26901
fragr^Modane^45.193516^6.65942
fraie^Aix en Provence TGV^43.455268^5.31723
frang^Angoulême^45.653933^0.164519
frasg^Auxerre Saint Gervais^47.797601^3.58546
fravg^Avignon TGV^43.921938^4.78581
frbes^Brest^48.38811^-4.4789
frbiq^Biarritz^43.45900^-1.54665
frboj^Bordeaux St-Jean^44.82592^-0.555978
frbor^Belfort^47.633689^6.85328
frbou^Bourges^47.094371^2.39418
frbqt^Forbach^49.189457^6.90042
frbve^Brive La Gaillarde^45.152623^1.52814
frbzr^Béziers^43.336225^3.21923
frccf^Carcassonne^43.218171^2.35271
frcfe^Clermont Ferrand^45.778575^3.10052
frcfr^Caen^49.17655^-0.348246
frchr^Châteauroux^46.80892^1.69858
frcmf^Chambéry Challes Les Eaux^45.570927^5.92054
frcql^Longueau^49.864316^2.35207
frcsf^Creil^49.264104^2.46909
frdht^Versailles Chantiers^48.795274^2.13616
frdju^Massy TGV^48.728653^2.26496
frdqc^Vernon^49.091306^1.47835
freah^Champagne Ardenne TGV^49.214357^3.99381
freaj^Meuse TGV^48.978813^5.27003
fream^Lorraine TGV^48.947974^6.17349
fregc^Bergerac^44.856798^0.49034
freip^Surgères^46.11341^-0.762139
frenc^Nancy Ville^48.690001^6.1739
frepl^Epinal^48.177565^6.4414
fresl^Vendôme Villiers sur Loir^47.821813^1.02033
frevx^Evreux Normandie^49.018565^1.14991
frfac^Facture-Biganos^44.637487^0.965556
frfni^Nîmes^43.832291^4.36585
frgfi^Orthez^43.48405^-0.767246
frgfr^Granville^48.83886^-1.58676
frggp^Guingamp^48.55517^-3.14505
frgnb^Grenoble^45.191654^5.71414
frgnx^Montargis^48.007176^2.74299
frhgu^Macon Ville^46.302902^4.82448
frhhd^St Etienne Châteaucreux^45.443377^4.4
frhza^Arles^43.680953^4.63368
frihw^Avignon Sud^43.56374^4.50272
frisi^Laroche Migennes^47.96103^3.51324
frjca^Cannes^43.554169^7.01861
frjdq^Lyon St Exupéry TGV^45.720953^5.07585
frjee^La Baule Escoublac^47.28869^-2.3891
frlab^Les Aubrais Orléans^47.927082^1.90672
frlde^Lourdes^43.10057^0.041825
frlle^Lille Europe^50.639717^3.07491
frlne^Lunéville^48.587749^6.49714
frlpd^Lyon Part Dieu^45.760281^4.8598
frlpe^Lyon Perrache^45.748376^4.82525
frlrh^La Rochelle Ville^46.15269^-1.14531
frlrt^Lorient^47.75524^-3.36634
frlwy^Longwy^49.512565^5.76916
frmaz^Miramas^43.580936^4.99932
frmcu^Montluçon Ville^46.3376^2.5963
frmlt^Macon Loche TGV^46.282999^4.77851
frmlv^Marne la Vallée Chessy^48.869418^2.78259
frmlw^Aéroport CDG  2 TGV^49.003652^2.57089
frmpl^Montpellier St Roch^43.60583^3.88238
frmsc^Marseille St Charles^43.30349^5.38224
frmxn^Morlaix^48.57772^-3.83383
frncy^Annecy^45.902695^6.12248
frnic^Nice Ville^43.704832^7.26199
frnit^Niort^46.31934^-0.454392
frnte^Nantes^47.21677^-1.54296
frnvs^Nevers^46.98754^3.15041
frpaz^Paris Austerlitz^48.840495^2.36704
frpbe^Paris Bercy^48.80975^2.42248
frpgf^Perpignan^42.696073^2.87963
frpis^Poitiers^46.582308^0.33275
frply^Paris Gare de Lyon^48.844288^2.37367
frpmo^Paris Montparnasse^48.839824^2.31881
frpno^Paris Nord^48.881642^2.35616
frpsl^Paris St Lazare^48.877868^2.32445
frpst^Paris Est^48.877552^2.35916
frqam^Amiens^49.889961^2.31041
frqbm^Bourg St Maurice^45.619518^6.77146
frqmu^Moutiers Salins Brides-les-Bains^45.486821^6.53004
frqnj^Arcachon^44.65857^-1.16472
frqrv^Arras^50.286673^2.78194
frqtj^Chartres^48.448122^1.48053
frqxb^Aix en Provence^43.52324^5.44412
frqyr^Troyes^48.295034^4.06539
frrco^Rochefort^45.94741^-0.963804
frrdz^Rodez^44.362653^2.58026
frrhe^Reims^49.258742^4.0241
frrns^Rennes^48.10289^-1.6736
frryn^Royan^45.62551^-1.01721
frsbk^St Brieuc^48.50753^-2.76754
frsne^Saverne^48.744758^7.36214
frsnr^St Nazaire^47.28676^-2.21132
frsth^Calais Frethun^50.902585^1.81129
frtgo^Futuroscope^46.670222^0.378099
frthp^TGV Haute Picardie^49.861154^2.83233
frtln^Toulon^43.128363^5.92973
frtrd^Trouville Deauville^49.35851^0.084866
fruip^Quimper^47.99469^-4.09209
frurd^Rouen Rive Droite^49.44951^1.09381
frvaf^Valence Ville ^44.928075^4.89363
frvdr^Val De Reuil^49.276077^1.22458
frvhy^Vichy^46.126877^3.4307
frvla^Valence TGV Rhône Alpes Sud^44.991545^4.9787
frvne^Vannes^47.66536^-2.75253
frxab^Abbeville^50.101979^1.82425
frxai^Aix les Bains le Revard^45.687886^5.90923
frxat^Antibes^43.585885^7.11941
frxav^Albertville^45.673396^6.38326
frxbd^Bar le Duc^48.773165^5.1678
frxbf^Bellegarde^46.109519^5.8231
frxbh^Béthune^50.52074^2.64161
frxbk^Bourg en Bresse^46.200032^5.21485
frxbq^Blois^47.585544^1.32353
frxbv^Beaune^47.023034^4.84873
frxby^Bayonne^43.49699^-1.47022
frxcc^Le Creusot TGV^46.807789^4.43069
frxcd^Chalon sur Saône^46.781028^4.84316
frxcp^Compiègne^49.42273^2.82447
frxcr^Chalons en Champagne^48.955481^4.34899
frxcx^Châtellerault^46.818596^0.549477
frxcy^Château Thierry^49.037888^3.40934
frxcz^Charleville Mézières^49.767406^4.72488
frxdn^Douai^50.371834^3.09045
frxdr^Dreux^48.731221^1.37065
frxeb^Evian les Bains^46.397593^6.57715
frxep^Epernay^49.046514^3.96024
frxgf^St Gervais les Bains - Le Fayet^45.906284^6.70004
frxjz^St Jean de Luz Ciboure^43.38574^-1.66091
frxle^Lens^50.426312^2.82857
frxll^Lons le Saunier^46.668436^5.55082
frxlr^Libourne^44.91577^0.236054
frxlx^Lisieux^49.138292^0.231502
frxmf^Montbéliard^47.510362^6.80165
frxmj^Mont de Marsan^43.88472^-0.504251
frxmk^Montélimar^44.559067^4.7447
frxmm^Monaco Monte Carlo^43.736233^7.41976
frxmr^Marmande^44.503204^0.167985
frxmt^Menton^43.774647^7.49344
frxmu^Moulins Sur Allier^46.559888^3.33873
frxmw^Montauban Ville Bourbon^44.014082^1.34116
frxna^Narbonne^43.191027^3.00597
frxrn^Redon^47.65179^-2.08789
frxro^La Roche sur Yon^46.67231^-1.43596
frxrs^Les Arcs Draguignan^43.455524^6.4825
frxsh^St Pierre des Corps^47.385739^0.725069
frxsj^St Quentin^49.839705^3.29712
frxsk^St Raphaël Valescure^43.424386^6.76847
frxst^Saintes^45.74784^-0.617588
frxsy^Sète^43.412808^3.69641
frxtb^Tarbes^43.240309^0.069053
frxtd^Saint-Dié-des-Vosges^48.282004^6.94728
frxth^Thionville^49.35427^6.17034
frxuy^Auray^47.68022^-3
frxvo^Vesoul^47.617469^6.15174
frxvs^Valenciennes^50.363574^3.5167
frxvz^Vierzon Ville^47.226537^2.06098
frxyt^Toulouse Matabiau^43.611439^1.45414
frzao^Cahors^44.449137^1.43325
