ABL,AMBLER,AMBLER,AMBLER/AK/US,ABL,Y,AK,US,NAMER,ITC1,US111,-157.8,67.1,26,N
ABM,BAMAGA,BAMAGA,BAMAGA/QL/AU,ABM,Y,QL,AU,AUSTL,ITC3,AU131,142.4,-10.87,27,N
ABN,ALBINA,ALBINA,ALBINA/SR,ABN,Y,NULL,SR,SAMER,ITC1,SR,-54.05,5.483,28,N
ABO,ABOISSO,ABOISSO,ABOISSO/CI,ABO,Y,NULL,CI,AFRIC,ITC2,CI,-3.2,5.467,NULL,N
ABP,ATKAMBA,ATKAMBA,ATKAMBA/PG,ABP,Y,NULL,PG,AUSTL,ITC3,PG,141.1,-6.067,NULL,N
ABQ,ALBUQUERQUE,ALBUQUERQUE,ALBUQUERQUE/NM/US:INTL,ABQ,Y,NM,US,NAMER,ITC1,US108,-106.6,35.05,29,N
ABR,ABERDEEN,ABERDEEN,ABERDEEN/SD/US:ABERDEEN MNPL,ABR,Y,SD,US,NAMER,ITC1,US107,-98.43,45.45,30,N
ABS,ABU SIMBEL,ABU SIMBEL,ABU SIMBEL/EG,ABS,Y,NULL,EG,AFRIC,ITC2,EG044,31.62,22.37,31,N
ABT,AL BAHA,AL BAHA,AL BAHA/SA:AL AQIQ,ABT,Y,NULL,SA,MEAST,ITC2,SA,42.22,22.83,NULL,N
ABU,ATAMBUA,ATAMBUA,ATAMBUA/ID,ABU,Y,NULL,ID,SEASI,ITC3,ID062,124.9,-9.333,NULL,N
ABV,ABUJA,ABUJA,ABUJA/NG:INTERNATIONAL,ABV,Y,NULL,NG,AFRIC,ITC2,NG,7.183,9.2,NULL,N
ABW,ABAU,ABAU,ABAU/PG,ABW,Y,NULL,PG,AUSTL,ITC3,PG,148.7,-10.17,32,N
ABX,ALBURY,ALBURY,ALBURY/NS/AU,ABX,Y,NS,AU,AUSTL,ITC3,AU007,146.9,-36.05,33,N
ABY,ALBANY DOUGH CNTY,ALBANY DOUGH CN,ALBANY/GA/US:DOUGHERTY COUNTY,ABY,Y,GA,US,NAMER,ITC1,US105,-84.2,31.53,NULL,N
ABZ,ABERDEEN DYCE,ABERDEEN DYCE,ABERDEEN/GB:DYCE,ABZ,Y,NULL,GB,EUROP,ITC2,GB053,-2.2,57.2,35,N
ACA,ACAPULCO,ACAPULCO,ACAPULCO/MX:ALVAREZ INTL,ACA,Y,NULL,MX,NAMER,ITC1,MX168,-99.8,16.78,36,N
ACB,BELLAIRE,BELLAIRE,BELLAIRE/MI/US:ANTRIM COUNTY,ACB,Y,MI,US,NAMER,ITC1,US105,-85.2,44.98,37,N
ACC,ACCRA,ACCRA,ACCRA/GH:KOTOKA,ACC,Y,NULL,GH,AFRIC,ITC2,GH,-0.1667,5.6,38,N
ACD,ACANDI,ACANDI,ACANDI/CO,ACD,Y,NULL,CO,SAMER,ITC1,CO132,-77.3,8.517,39,N
ACE,LANZAROTE,LANZAROTE,LANZAROTE/ES,ACE,Y,NULL,ES,EUROP,ITC2,ES046,-13.6,28.95,40,N
ACH,ALTENRHEIN,ALTENRHEIN,ALTENRHEIN/CH,ACH,Y,NULL,CH,EUROP,ITC2,CH032,9.55,47.48,NULL,N
ACI,ALDERNEY,ALDERNEY,ALDERNEY/GB:THE BLAYE,ACI,Y,NULL,GB,EUROP,ITC2,GB053,-2.217,49.7,41,N
