^*A^0^STAR ALLIANCE^^*A
^*Q^0^THE QUALIFLYER GROUP^^*Q
^*S^0^SKYTEAM^^*S
^0B^671^BLUE AIR^^0B
^0C^0^CATOVAIR^CATOVAIR^0C
DWT^0D^779^DARWIN AIRLINE^DARWIN^0D
^0G^0^GHADAMES AIR TRANSPORT^^0G
KRT^0K^0^AIRCOMPANY KOKSHETAU^^0K
^0O^0^STA TRAVEL^STA TRAVEL^0O
^0P^840^PALAU ASIA PACIFIC AIR^^0P
^0V^368^VIETNAM AIR SERVICE^^0V
^0W^0^W CARIBBEAN COSTA RICA^^0W
AGT^1A^790^AMADEUS^AMADEUS^1A
^1B^0^ABACUS^ABACUS^1B
^1C^0^EDS INFORMATION BUSINESS^GEMINI^1C
^1D^0^RADDIX SOLUTIONS INTL^^1D
^1E^252^TRAVELSKY TECHNOLOGY LTD^CIVIL CHINA^1E
TTF^1F^788^INFINI TRAVEL INFORMATIO^INFINI TRAVEL^1F
^1G^0^TRAVELPORT GLOBAL DISTRIBUTION^GALILEO^1G
^1H^446^SIRENA-TRAVEL^^1H
^1I^0^NETJETS AVIATION^^1I
^1J^0^AXESS INTERNATIONAL^AXESS INTL^1J
^1K^0^SUTRA INC.^SOUTHERN^1K
^1L^0^NAVITAIRE OPEN SKIES^^1L
^1M^0^SIRENA JSC^SERTEL^1M
^1N^892^NAVITAIRE NEW SKIES^^1N
^1O^0^PHOENIX SYSTEMS DERTOURS^^1O
WSP^1P^523^WORLDSPAN^WORLDSPAN^1P
^1Q^0^JOINT-STOCK COMPANY.ITAL^^1Q
^1R^0^BIRD INFORMATION SYSTEMS^^1R
^1S^0^SABRE^SABRE^1S
^1T^0^EAST-LINE JSC^^1T
^1U^0^ITA SOFTWARE^^1U
^1V^588^GALILEO INTERNATIONAL^COVIA^1V
^1W^0^SABRE^SABRE^1W
^1X^0^BRANSON AIR^GABRIEL^1X
^1Y^0^ELECTRONIC DATA SYSTEMS^^1Y
APD^1Z^0^FANTASIA INFO NETWORK LT^ASIA PACIFIC^1Z
