fraup^20000^Bologne^Desserte Fret-Desserte Voyageur-Infrastructure^48.19858^5.13426
frawi^20000^Vraincourt-Viéville^Desserte Voyageur^48.23707^5.12384
frauq^20000^Vignory^Desserte Fret-Desserte Voyageur-Infrastructure^48.27047^5.12419
fr76^20000^Froncles-Buxières^Desserte Voyageur^48.29664^5.1416
fraut^20000^Gudmont^Desserte Fret-Desserte Voyageur-Infrastructure^48.33749^5.14085
frauu^20000^Donjeux^Desserte Voyageur^48.36593^5.14842
frbgm^20000^Fronville-St-Urbain^Desserte Voyageur^48.40132^5.15608
fr80^20000^Joinville (Haute-Marne)^Desserte Fret-Desserte Voyageur-Infrastructure^48.44474^5.1443
frbgp^20000^Curel^Non exploitée^48.48966^5.13094
frbgq^20000^Chevillon^Desserte Fret-Desserte Voyageur-Infrastructure^48.52427^5.11183
frbgr^20000^Bayard^Desserte Fret-Desserte Voyageur-Infrastructure^48.5515^5.07629
fr84^20000^Eurville-Bienville^Desserte Fret-Desserte Voyageur-Infrastructure^48.5829^5.04489
fr85^20000^Ancerville-Guë^Desserte Fret-Infrastructure^48.617^5.00979
fr86^20000^Marnaval^Non exploitée^48.6287^4.99202
frbgj^20000^St-Dizier^Desserte Fret-Desserte Voyageur-Infrastructure^48.64278^4.9472
frbgw^20000^Villiers-en-Lieu^Desserte Voyageur^48.66334^4.8975
frbgx^20000^St-Eulien^Desserte Voyageur-Infrastructure^48.67821^4.86814
fr90^20000^Vouillers^Non exploitée^48.68745^4.84986
fr91^20000^St-Vrain^Non exploitée^48.69788^4.8291
frbgj^19000^St-Dizier^Desserte Fret-Desserte Voyageur-Infrastructure^48.64168^4.95105
fr92^18000^Doulevant-le-Château^Non exploitée^48.37569^4.92773
fr93^18000^Dommartin-le-St-Père^Non exploitée^48.39518^4.91832
fr94^18000^Courcelles-sur-Blaise^Non exploitée^48.41433^4.93487
fr95^18000^Dommartin-le-Franc^Non exploitée^48.42964^4.95442
fr96^18000^Vaux-Montreuil^Non exploitée^48.47387^4.96525
fr97^18000^Brousseval^Non exploitée^48.48947^4.96192
fr98^18000^Wassy^Non exploitée^48.49408^4.94237
frdwp^468000^Pléchâtel^Desserte Voyageur^47.87172^-1.77619
frdwq^468000^Messac-Guipry^Desserte Voyageur-Infrastructure^47.82223^-1.81796
frdwr^468000^Fougeray-Langon^Desserte Voyageur^47.72993^-1.85147
frdws^468000^Beslé^Desserte Voyageur-Infrastructure^47.69896^-1.86999
frdwt^468000^Massérac^Desserte Voyageur^47.67471^-1.9138
frxrn^468000^Redon^Desserte Fret-Desserte Voyageur-Infrastructure^47.65228^-2.08852
frxrn^470000^Redon^Desserte Fret-Desserte Voyageur-Infrastructure^47.65228^-2.08852
fr104^470000^St-Jacut^Non exploitée^47.67896^-2.18828
fredg^470000^Malansac^Desserte Voyageur^47.67577^-2.29519
fredf^470000^Questembert^Desserte Fret-Desserte Voyageur-Infrastructure^47.68308^-2.45011
fr107^470000^Elven^Non exploitée^47.70161^-2.62937
frvne^470000^Vannes^Desserte Fret-Desserte Voyageur-Infrastructure^47.66482^-2.75192
fredc^470000^Ste-Anne^Desserte Voyageur^47.67837^-2.9611
frxuy^470000^Auray^Desserte Fret-Desserte Voyageur-Infrastructure^47.68002^-3.00001
freci^470000^Landévant^Desserte Voyageur^47.7595^-3.12398
freck^470000^Hennebont^Desserte Voyageur-Infrastructure^47.7992^-3.28598
frlrt^470000^Lorient^Desserte Fret-Desserte Voyageur-Infrastructure^47.75555^-3.36564
frecn^470000^Gestel^Desserte Voyageur-Infrastructure^47.80296^-3.44298
freco^470000^Quimperlé^Desserte Fret-Desserte Voyageur-Infrastructure^47.86922^-3.55259
freaq^470000^Bannalec^Desserte Fret-Desserte Voyageur-Infrastructure^47.9268^-3.70603
frrsp^470000^Rosporden^Desserte Fret-Desserte Voyageur-Infrastructure^47.96029^-3.83316
fr117^470000^St-Yvy^Non exploitée^47.97524^-3.92683
fruip^470000^Quimper^Desserte Fret-Desserte Voyageur-Infrastructure^47.99438^-4.0932
fr118^470000^Quéménéven^Desserte Fret^48.11579^-4.08585
fr119^470000^Quimerch^Non exploitée^48.28245^-4.09581
freai^470000^Hanvec^Infrastructure^48.34159^-4.13528
fr121^470000^Daoulas^Non exploitée^48.35952^-4.23994
freag^470000^Dirinon^Desserte Fret-Desserte Voyageur-Infrastructure^48.39266^-4.28509
frxld^470000^Landerneau^Desserte Fret-Desserte Voyageur-Infrastructure^48.45347^-4.25644
frdwi^472000^La Brohinière^Desserte Fret-Desserte Voyageur-Infrastructure^48.21367^-2.11046
frxuy^473000^Auray^Desserte Fret-Desserte Voyageur-Infrastructure^47.68002^-3.00001
frecq^473000^Belz-Ploemel^Desserte Voyageur^47.65227^-3.07228
frecr^473000^Plouharnel-Carnac^Desserte Voyageur-Infrastructure^47.60374^-3.11863
frecl^473000^Les Sables-Blancs^Desserte Voyageur^47.57522^-3.1324
fr127^415000^Pleine-Fougères^Desserte Fret-Infrastructure^48.52988^-1.56565
freds^415000^Plerguer^Desserte Voyageur^48.53157^-1.85088
fredt^415000^Miniac^Desserte Voyageur^48.53145^-1.91499
fredu^415000^Pleudihen^Desserte Voyageur^48.49949^-1.9618
fredv^415000^La Hisse^Desserte Voyageur^48.49607^-2.00429
frdin^415000^Dinan^Desserte Voyageur-Infrastructure^48.45661^-2.0544
frdyk^415000^Plancoët^Desserte Voyageur-Infrastructure^48.52175^-2.22922
frdyj^415000^Landébia^Desserte Voyageur-Infrastructure^48.5076^-2.33158
frxvt^420000^Vitré^Desserte Fret-Desserte Voyageur-Infrastructure^48.12266^-1.21216
frdxn^420000^Châteaubourg^Desserte Voyageur-Infrastructure^48.10621^-1.40571
frdxp^420000^Noyal-Acigné^Desserte Voyageur-Infrastructure^48.11868^-1.52963
frsev^420000^Cesson-Sévigné-Halte^Desserte Voyageur^48.11281^-1.60222
frdwg^420000^Montfort-sur-Meu^Desserte Voyageur-Infrastructure^48.13897^-1.94921
frdwh^420000^Montauban-de-Bretagne^Desserte Fret-Desserte Voyageur-Infrastructure^48.19021^-2.05258
frdwi^420000^La Brohinière^Desserte Fret-Desserte Voyageur-Infrastructure^48.21367^-2.11046
frdxv^420000^Caulnes^Desserte Voyageur^48.28453^-2.15535
frdxw^420000^Broons^Desserte Voyageur-Infrastructure^48.33353^-2.23586
frdxx^420000^Plénée-Jugon^Desserte Fret-Desserte Voyageur-Infrastructure^48.37675^-2.3546
frdxz^420000^Yffiniac^Desserte Voyageur-Infrastructure^48.47008^-2.65225
frsbk^420000^St-Brieuc^Desserte Fret-Desserte Voyageur-Infrastructure^48.50797^-2.76497
frdya^420000^La Méaugon^Desserte Voyageur^48.49946^-2.84401
frdyb^420000^Plouvara-Plerneuf^Desserte Voyageur^48.50869^-2.89244
frdyc^420000^Châtelaudren-Plouagat^Desserte Fret-Desserte Voyageur-Infrastructure^48.53335^-2.97458
frggp^420000^Guingamp^Desserte Fret-Desserte Voyageur-Infrastructure^48.55623^-3.14293
frdye^420000^Belle-Isle-Bégard^Desserte Voyageur^48.59376^-3.32245
fr17^420000^Plouaret^Desserte Voyageur-Infrastructure^48.60652^-3.46669
frdyg^420000^Plounérin^Desserte Fret-Desserte Voyageur-Infrastructure^48.58144^-3.56799
frmxn^420000^Morlaix^Desserte Fret-Desserte Voyageur-Infrastructure^48.5777^-3.8331
freay^420000^Pleyber-Christ^Desserte Fret-Desserte Voyageur-Infrastructure^48.50732^-3.88293
freax^420000^St-Thégonnec^Desserte Voyageur-Infrastructure^48.49442^-3.94844
freaw^420000^Guimiliau^Desserte Voyageur^48.48526^-3.9991
freav^420000^Landivisiau^Desserte Fret-Desserte Voyageur-Infrastructure^48.49615^-4.08188
fr154^420000^La Roche^Desserte Voyageur^48.47372^-4.20554
frxld^420000^Landerneau^Desserte Fret-Desserte Voyageur-Infrastructure^48.45347^-4.25644
fr155^2000^Meilleray^Non exploitée^48.78368^3.41785
fr156^2000^Lescherolles^Non exploitée^48.77233^3.34581
frali^2000^La Ferté-Gaucher^Desserte Voyageur-Infrastructure^48.78219^3.2977
fralh^2000^Jouy-sur-Morin-Le Marais^Desserte Voyageur^48.79062^3.27351
fralf^2000^St-Siméon^Desserte Voyageur^48.79925^3.20855
frala^2000^Chailly-Boissy-Le Châtel^Desserte Voyageur^48.81427^3.15193
frakx^2000^Coulommiers^Desserte Fret-Desserte Voyageur-Infrastructure^48.80765^3.08184
frakv^2000^Mouroux^Desserte Voyageur^48.81328^3.04473
fraku^2000^Faremoutiers-Pommeuse^Desserte Voyageur^48.80855^2.99341
frakt^2000^Guérard-La Celle-sur-Morin^Desserte Voyageur^48.81043^2.95464
fr165^2000^Dammartin-Tigeaux^Non exploitée^48.8106^2.92573
fraks^2000^Mortcerf^Desserte Voyageur-Infrastructure^48.78912^2.90774
fr167^2000^La Houssaye-Crèvecoeur^Non exploitée^48.75461^2.88346
frakr^2000^Marles-en-Brie^Desserte Fret-Desserte Voyageur-Infrastructure^48.73427^2.8675
frakq^2000^Tournan^Desserte Fret-Desserte Voyageur-Infrastructure^48.73931^2.75957
frmta^1379^Magenta^Desserte Voyageur-Infrastructure^48.88034^2.35837
frmlh^1000^Mulhouse-Ville^Desserte Fret-Desserte Voyageur-Infrastructure^47.74199^7.34344
frbii^1000^Hasenrain^Desserte Voyageur^47.73558^7.32946
frbij^1000^Brunstatt^Desserte Voyageur^47.71979^7.31414
frbik^1000^Flaxlanden^Desserte Voyageur^47.69845^7.30421
frbjg^1000^Zillisheim^Desserte Voyageur^47.69434^7.2945
frbjh^1000^Illfurth^Desserte Voyageur^47.67603^7.26818
frbin^1000^Tagolsheim^Desserte Voyageur^47.65482^7.26391
frbio^1000^Walheim^Desserte Voyageur^47.64179^7.26316
frbji^1000^Altkirch^Desserte Fret-Desserte Voyageur-Infrastructure^47.6271^7.23959
frbip^1000^Ballersdorf^Desserte Voyageur^47.61985^7.15515
frbjj^1000^Dannemarie^Desserte Voyageur-Infrastructure^47.62741^7.1239
frbir^1000^Valdieu^Desserte Voyageur^47.63114^7.05578
frbls^1000^Montreux-Vieux^Desserte Voyageur-Infrastructure^47.61738^7.02464
frblr^1000^Petit-Croix^Desserte Voyageur-Infrastructure^47.6101^6.99463
frblq^1000^Chèvremont^Desserte Voyageur-Infrastructure^47.62166^6.92074
frbor^1000^Belfort^Desserte Fret-Desserte Voyageur-Infrastructure^47.63251^6.85414
frblp^1000^Trois-Chênes^Desserte Voyageur^47.6479^6.84605
frbln^1000^Valdoie^Non exploitée^47.66514^6.83741
fr189^1000^Bas-Évette^Desserte Fret-Desserte Voyageur-Infrastructure^47.68086^6.80692
frbmv^1000^Champagney^Desserte Voyageur-Infrastructure^47.70315^6.70123
frbmu^1000^Ronchamp^Desserte Voyageur^47.69907^6.62319
frlur^1000^Lure^Desserte Fret-Desserte Voyageur-Infrastructure^47.68296^6.49275
frbms^1000^Genevreuille^Infrastructure^47.67834^6.38137
frbmr^1000^Creveney-Saulx^Infrastructure^47.68301^6.287
frbmq^1000^Colombier^Non exploitée^47.66091^6.2147
frxvo^1000^Vesoul^Desserte Fret-Desserte Voyageur-Infrastructure^47.61747^6.15174
frvre^1000^Vaivre^Non exploitée^47.63328^6.10366
frbmo^1000^Grattery^Non exploitée^47.67172^6.0823
frbmk^1000^Port-sur-Saône^Non exploitée^47.68971^6.05314
frpaa^1000^Port-d'Atelier-Amance^Desserte Fret-Infrastructure^47.76247^6.03999
frbmt^1000^Montureux-lès-Baulay^Infrastructure^47.81299^5.98703
frbmw^1000^Jussey^Desserte Fret-Infrastructure^47.83696^5.90323
fr203^1000^Barges-Cemboing^Non exploitée^47.85517^5.86334
frauj^1000^Vitrey-Vernois^Infrastructure^47.83245^5.7812
fraui^1000^Laferté-sur-Amance^Non exploitée^47.82209^5.68365
fraug^1000^Charmoy-Fayl-Billot^Non exploitée^47.8259^5.62874
frauf^1000^Hortes^Non exploitée^47.83408^5.5491
fr208^1000^Chaudenay (Haute-Marne)^Non exploitée^47.82492^5.49012
frccy^1000^Culmont-Chalindrey^Desserte Fret-Desserte Voyageur-Infrastructure^47.80974^5.44302
frlag^1000^Langres^Desserte Fret-Desserte Voyageur-Infrastructure^47.87723^5.34471
fr211^1000^Humes^Non exploitée^47.90584^5.30217
fr212^1000^Rolampont^Desserte Fret-Infrastructure^47.9488^5.28289
fr213^1000^Vesaignes-sur-Marne^Non exploitée^47.99795^5.26368
fr214^1000^Foulain^Infrastructure^48.04167^5.21125
fratz^1000^Luzy-sur-Marne^Non exploitée^48.06059^5.1805
frxcw^1000^Chaumont^Desserte Fret-Desserte Voyageur-Infrastructure^48.10944^5.13443
fr217^1000^Villiers-le-Sec^Desserte Fret^48.11205^5.06903
fr218^1000^Bricon^Desserte Fret-Infrastructure^48.08739^4.97907
fr219^1000^Maranville^Non exploitée^48.14005^4.86866
fr220^1000^Clairvaux^Desserte Fret-Infrastructure^48.15818^4.80142
fr221^1000^Bayel^Non exploitée^48.19736^4.78456
frapx^1000^Bar-sur-Aube^Desserte Fret-Desserte Voyageur-Infrastructure^48.23852^4.70688
fr223^1000^Arsonval-Jaucourt^Non exploitée^48.26095^4.64708
fr224^1000^Jessains^Desserte Fret-Infrastructure^48.28504^4.58267
fr225^1000^Vauchonvilliers-Maisons-des-Champs^Non exploitée^48.26057^4.53789
fr226^1000^Vendeuvre (Aube)^Desserte Voyageur-Infrastructure^48.24035^4.46719
fr227^1000^La Villeneuve-au-Chène^Non exploitée^48.22928^4.38912
fr228^1000^Montiéramey^Infrastructure^48.22691^4.32908
fr229^1000^Lusigny^Non exploitée^48.25248^4.2505
fr230^1000^Montaulin^Non exploitée^48.25903^4.19424
fr231^1000^Rouilly-St-Loup^Non exploitée^48.2614^4.15462
frqyr^1000^Troyes^Desserte Fret-Desserte Voyageur-Infrastructure^48.29501^4.06542
fr233^1000^Barberey-St-Sulpice^Infrastructure^48.33523^4.02656
frapa^1000^St-Lyé^Non exploitée^48.35881^3.99915
frapb^1000^Payns^Non exploitée^48.3806^3.97391
frapc^1000^Savières^Non exploitée^48.40447^3.95085
frapd^1000^St-Mesmin^Desserte Fret-Infrastructure^48.43877^3.92572
frape^1000^Vallant-St-Georges^Non exploitée^48.46607^3.89956
fr239^1000^Mesgrigny-Méry^Infrastructure^48.48674^3.88023
fr240^1000^Châtres (Aube)^Desserte Fret-Infrastructure^48.49911^3.85511
fraph^1000^Maizières-la-Grande-Paroisse^Infrastructure^48.50503^3.78599
frapi^1000^Romilly-sur-Seine^Desserte Fret-Desserte Voyageur-Infrastructure^48.51416^3.72834
frapj^1000^Crancey^Desserte Fret^48.51519^3.63979
frapk^1000^Pont-sur-Seine^Infrastructure^48.5141^3.59982
frapl^1000^Marnay-sur-Seine^Non exploitée^48.50941^3.56139
frapm^1000^Nogent-sur-Seine^Desserte Fret-Desserte Voyageur-Infrastructure^48.49784^3.49373
fr247^1000^Herme^Non exploitée^48.48425^3.35194
fr248^1000^Flamboin-Gouaix^Desserte Fret-Infrastructure^48.47231^3.2946
fr249^1000^Longueville (Seine-et-Marne)^Desserte Fret-Desserte Voyageur-Infrastructure^48.51237^3.25128
fr250^1000^Maison-Rouge-en-Brie^Desserte Fret^48.53632^3.14704
frakk^1000^Nangis^Desserte Fret-Desserte Voyageur-Infrastructure^48.56127^3.0129
fr252^1000^Grandpuits^Desserte Fret-Infrastructure^48.58981^2.96923
fr253^1000^Grandpuits-Bagneux^Desserte Fret^48.59801^2.94049
frakj^1000^Mormant^Desserte Voyageur-Infrastructure^48.61392^2.88857
fr255^1000^Verneuil-l'Étang^Desserte Fret-Desserte Voyageur-Infrastructure^48.64469^2.82493
frakh^1000^Ozouer-le-Voulgis^Infrastructure^48.66571^2.78203
frakg^1000^Villepatour-Presles^Non exploitée^48.69665^2.74369
frgrz^1000^Gretz-Armainvilliers^Desserte Fret-Desserte Voyageur-Infrastructure^48.74533^2.72865
frakd^1000^Ozoir-la-Ferrière^Desserte Voyageur^48.77052^2.69042
frake^1000^Roissy-en-Brie^Desserte Voyageur^48.79549^2.65095
fr261^1000^Émerainville-Pontault-Combault^Desserte Fret-Desserte Voyageur-Infrastructure^48.80666^2.6174
frajc^1000^Les Yvris-Noisy-le-Grand^Desserte Voyageur^48.82352^2.57932
fr263^1000^Villiers-sur-Marne^Desserte Voyageur-Infrastructure^48.82328^2.54256
fraiz^1000^Les Boullereaux-Champigny^Desserte Voyageur^48.82493^2.51125
fraix^1000^Nogent-Le Perreux^Desserte Fret-Desserte Voyageur-Infrastructure^48.83844^2.49436
fraiw^1000^Val-de-Fontenay^Desserte Voyageur^48.85422^2.4892
fraiu^1000^Rosny-sous-Bois^Desserte Voyageur^48.87039^2.48568
frait^1000^Rosny-Bois-Perrier^Desserte Voyageur^48.88246^2.48108
fraim^1000^Noisy-le-Sec^Desserte Fret-Desserte Voyageur-Infrastructure^48.89667^2.46039
fraik^1000^Pantin^Desserte Fret-Desserte Voyageur-Infrastructure^48.89807^2.40028
fr271^1000^Paris-La Villette-Hébert^Desserte Fret^48.89353^2.36878
frpst^1000^Paris-Est^Desserte Voyageur-Infrastructure^48.87755^2.35916
frarw^65000^Gerbéviller^Non exploitée^48.49296^6.50897
frayc^30000^Mirecourt^Desserte Voyageur-Infrastructure^48.2997^6.12877
frasm^67000^Baccarat^Desserte Voyageur-Infrastructure^48.45226^6.74405
frkhs^161000^Kalhausen^Desserte Voyageur-Infrastructure^49.03533^7.12525
frcgt^329000^Valmondois^Desserte Voyageur-Infrastructure^49.09159^2.202
frbjv^119000^Gunsbach-Griesbach^Desserte Voyageur^48.04156^7.17486
frmus^119000^Munster^Desserte Voyageur-Infrastructure^48.03824^7.13283
frdck^330000^Chars^Desserte Fret-Desserte Voyageur-Infrastructure^49.16276^1.93671
frbwa^159000^Gundershoffen^Desserte Fret-Desserte Voyageur-Infrastructure^48.90524^7.65325
fr282^231000^Barbery^Non exploitée^49.21819^2.69969
frcqr^322000^Longpré-les-Corps-Saints^Desserte Voyageur-Infrastructure^50.0113^2.00306
frcdv^232000^Ormoy-Villers^Desserte Fret-Desserte Voyageur-Infrastructure^49.20089^2.83803
frhtg^180000^Hettange-Grande^Desserte Fret-Desserte Voyageur^49.40817^6.15601
fr286^106000^La Forge^Non exploitée^48.69893^7.02485
fr287^251000^Rieux (Nord)^Non exploitée^50.19893^3.34165
frcst^321000^Fouilloy^Desserte Voyageur^49.73649^1.82565
frbwh^146000^Walbourg^Desserte Voyageur^48.88584^7.80915
fr290^236000^Mennevret^Non exploitée^49.98287^3.56122
fr291^205000^Lafrancheville^Non exploitée^49.72814^4.71428
frbxt^111000^Goxwiller^Desserte Voyageur-Infrastructure^48.43258^7.47869
frbxv^111000^Bischoffsheim^Desserte Voyageur^48.48678^7.49779
frcax^168000^Bischtroff-sur-Sarre^Non exploitée^48.90344^7.07349
lurdg^202100^Rodange^Desserte Voyageur^49.54335^5.8108
fr296^232000^Béthisy-St-Pierre^Non exploitée^49.29693^2.79681
frcoc^261000^La Fère^Desserte Voyageur^49.65783^3.36874
frcrg^232000^Estrées-St-Denis^Desserte Fret-Desserte Voyageur-Infrastructure^49.43788^2.64271
frbcz^205000^Nouzonville^Desserte Fret-Desserte Voyageur-Infrastructure^49.81219^4.74271
fr300^272000^Brebières^Desserte Voyageur^50.33635^3.01369
frbnp^180000^Maizières-lès-Metz^Desserte Voyageur^49.21555^6.15822
fr302^236000^Tupigny^Non exploitée^49.95911^3.59591
lubet^180000^Bettembourg^Desserte Voyageur^49.47187^6.10787
fr304^304000^Offekerque^Non exploitée^50.95246^2.01533
frdca^334900^Colombes^Desserte Voyageur^48.92394^2.25898
fr306^321000^Gaillefontaine^Non exploitée^49.62695^1.62222
fr307^253000^Douzies^Desserte Fret-Infrastructure^50.27522^3.92971
frlch^289000^Lille CHR^Desserte Voyageur^50.61462^3.03485
fr309^236000^La Ferté-Chevresis^Infrastructure^49.73854^3.55565
frbdb^205000^Bogny-sur-Meuse^Desserte Voyageur-Infrastructure^49.85845^4.76338
frdnt^321000^Montérolier-Buchy^Desserte Voyageur-Infrastructure^49.60334^1.33607
frbhn^168000^Berthelming^Desserte Voyageur-Infrastructure^48.81201^7.00791
fr313^289000^Auxi-le-Château^Non exploitée^50.22613^2.11935
fr314^267000^Vicoigne^Non exploitée^50.3985^3.47875
fr315^259000^Roye (Somme)^Desserte Fret-Infrastructure^49.70507^2.78664
frdab^286000^Bauvin-Provin^Desserte Voyageur^50.51167^2.90504
frcid^278000^Croix-l'Allumette^Desserte Voyageur^50.6866^3.15061
frbde^205000^Laifour^Desserte Voyageur^49.9115^4.69286
fr319^100000^Guebling^Non exploitée^48.86916^6.73372
fr320^205000^Ciry-Sermoise^Desserte Fret-Infrastructure^49.37019^3.46759
fr321^317000^La Rue-St-Pierre^Infrastructure^49.41168^2.31459
frbdh^205000^Haybes^Desserte Voyageur^50.01174^4.70396
frbug^70000^Schwindratzheim^Desserte Voyageur^48.75358^7.60065
frarr^42000^Einvaux^Desserte Voyageur-Infrastructure^48.5034^6.39312
frbuf^70000^Brumath^Desserte Fret-Desserte Voyageur-Infrastructure^48.7329^7.70008
frcld^295000^Nieppe^Desserte Voyageur^50.6966^2.82913
fr327^289000^Lille-Bifurcation-de-la-Justice^Non exploitée^50.61122^3.08238
fr328^232000^Ménévillers^Non exploitée^49.52583^2.60625
frmtd^232000^Montdidier^Desserte Fret-Desserte Voyageur-Infrastructure^49.64135^2.56185
