#CODE_LIGNE^NOM^NATURE^LATITUDE (WGS84)^LONGITUDE (WGS84)
470000^Vannes^Desserte Fret-Desserte Voyageur-Infrastructure^47.66482^-2.75192
470000^Ste-Anne^Desserte Voyageur^47.67837^-2.9611
470000^Auray^Desserte Fret-Desserte Voyageur-Infrastructure^47.68002^-3.00001
470000^Landévant^Desserte Voyageur^47.7595^-3.12398
470000^Hennebont^Desserte Voyageur-Infrastructure^47.7992^-3.28598
470000^Lorient^Desserte Fret-Desserte Voyageur-Infrastructure^47.75555^-3.36564
470000^Gestel^Desserte Voyageur-Infrastructure^47.80296^-3.44298
470000^Quimperlé^Desserte Fret-Desserte Voyageur-Infrastructure^47.86922^-3.55259
470000^Bannalec^Desserte Fret-Desserte Voyageur-Infrastructure^47.9268^-3.70603
470000^Rosporden^Desserte Fret-Desserte Voyageur-Infrastructure^47.96029^-3.83316
470000^St-Yvy^Non exploitée^47.97524^-3.92683
470000^Quimper^Desserte Fret-Desserte Voyageur-Infrastructure^47.99438^-4.0932
470000^Quéménéven^Desserte Fret^48.11579^-4.08585
470000^Quimerch^Non exploitée^48.28245^-4.09581
470000^Hanvec^Infrastructure^48.34159^-4.13528
470000^Daoulas^Non exploitée^48.35952^-4.23994
470000^Dirinon^Desserte Fret-Desserte Voyageur-Infrastructure^48.39266^-4.28509
470000^Landerneau^Desserte Fret-Desserte Voyageur-Infrastructure^48.45347^-4.25644
472000^La Brohinière^Desserte Fret-Desserte Voyageur-Infrastructure^48.21367^-2.11046
473000^Auray^Desserte Fret-Desserte Voyageur-Infrastructure^47.68002^-3.00001
473000^Belz-Ploemel^Desserte Voyageur^47.65227^-3.07228
473000^Plouharnel-Carnac^Desserte Voyageur-Infrastructure^47.60374^-3.11863
473000^Les Sables-Blancs^Desserte Voyageur^47.57522^-3.1324
415000^Pleine-Fougères^Desserte Fret-Infrastructure^48.52988^-1.56565
415000^Plerguer^Desserte Voyageur^48.53157^-1.85088
415000^Miniac^Desserte Voyageur^48.53145^-1.91499
415000^Pleudihen^Desserte Voyageur^48.49949^-1.9618
415000^La Hisse^Desserte Voyageur^48.49607^-2.00429
415000^Dinan^Desserte Voyageur-Infrastructure^48.45661^-2.0544
415000^Plancoët^Desserte Voyageur-Infrastructure^48.52175^-2.22922
415000^Landébia^Desserte Voyageur-Infrastructure^48.5076^-2.33158
420000^Vitré^Desserte Fret-Desserte Voyageur-Infrastructure^48.12266^-1.21216
420000^Châteaubourg^Desserte Voyageur-Infrastructure^48.10621^-1.40571
420000^Noyal-Acigné^Desserte Voyageur-Infrastructure^48.11868^-1.52963
420000^Cesson-Sévigné-Halte^Desserte Voyageur^48.11281^-1.60222
420000^Montfort-sur-Meu^Desserte Voyageur-Infrastructure^48.13897^-1.94921
420000^Montauban-de-Bretagne^Desserte Fret-Desserte Voyageur-Infrastructure^48.19021^-2.05258
420000^La Brohinière^Desserte Fret-Desserte Voyageur-Infrastructure^48.21367^-2.11046
420000^Caulnes^Desserte Voyageur^48.28453^-2.15535
420000^Broons^Desserte Voyageur-Infrastructure^48.33353^-2.23586
420000^Plénée-Jugon^Desserte Fret-Desserte Voyageur-Infrastructure^48.37675^-2.3546
420000^Yffiniac^Desserte Voyageur-Infrastructure^48.47008^-2.65225
420000^St-Brieuc^Desserte Fret-Desserte Voyageur-Infrastructure^48.50797^-2.76497
420000^La Méaugon^Desserte Voyageur^48.49946^-2.84401
420000^Plouvara-Plerneuf^Desserte Voyageur^48.50869^-2.89244
420000^Châtelaudren-Plouagat^Desserte Fret-Desserte Voyageur-Infrastructure^48.53335^-2.97458
420000^Guingamp^Desserte Fret-Desserte Voyageur-Infrastructure^48.55623^-3.14293
420000^Belle-Isle-Bégard^Desserte Voyageur^48.59376^-3.32245
420000^Plouaret^Desserte Voyageur-Infrastructure^48.60652^-3.46669
420000^Plounérin^Desserte Fret-Desserte Voyageur-Infrastructure^48.58144^-3.56799
420000^Morlaix^Desserte Fret-Desserte Voyageur-Infrastructure^48.5777^-3.8331
420000^Pleyber-Christ^Desserte Fret-Desserte Voyageur-Infrastructure^48.50732^-3.88293
