#Nom de la gare^Type^Région^Latitude^Longitude
Anizy-Pinon^Gare Ferroviaire de Voyageurs^Picardie^49.49587^3.44843
Annappes^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.62293^3.14475
Annecy^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.90273^6.12255
Annemasse^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.19963^6.23677
Anor^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^49.98502^4.09303
Anse^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.93950^4.71974
Anstaing^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.60388^3.19348
Anthéor-Cap-Roux^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.43514^6.89216
Antibes^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.58588^7.11942
Anvin^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.44570^2.25859
Anzeling^Gare Ferroviaire de Voyageurs^Lorraine^49.26240^6.45953
Apach (Moselle)^Gare Ferroviaire de Voyageurs^Lorraine^49.45862^6.37249
Appilly^Gare Ferroviaire de Voyageurs^Picardie^49.58047^3.12113
Arbanats^Gare Ferroviaire de Voyageurs^Aquitaine^44.67440^-0.39565
Arbois^Gare Ferroviaire de Voyageurs^Franche-Comté^46.91247^5.76477
Arcachon^Gare Ferroviaire de Voyageurs^Aquitaine^44.65880^-1.16535
Arc-et-Senans^Gare Ferroviaire de Voyageurs^Franche-Comté^47.03018^5.77710
Arches^Gare Ferroviaire de Voyageurs^Lorraine^48.12035^6.52683
Arcy-sur-Cure^Gare Ferroviaire de Voyageurs^Bourgogne^47.60088^3.76689
Arengosse^Gare Ferroviaire de Voyageurs^Aquitaine^44.00673^-0.80947
Argelès-sur-Mer^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.54396^3.02151
Argentan^Gare Ferroviaire de Voyageurs^Basse-Normandie^48.73847^-0.02571
Argenteuil^Gare Ferroviaire de Voyageurs^Ile de France^48.94654^2.25778
Argentière^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.98176^6.92616
Argenton-sur-Creuse^Gare Ferroviaire de Voyageurs^Centre^46.59260^1.51851
Arlac^Gare Ferroviaire de Voyageurs^Aquitaine^44.82747^-0.62619
Arles^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.68246^4.63284
Arleux^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.28628^3.12135
Armentières^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.68047^2.87750
Arnage^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.92777^0.19015
Arnèke^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.83174^2.40826
Arpajon (Essonne)^Gare Ferroviaire de Voyageurs^Ile de France^48.58614^2.24049
