#Nom de la gare^Type^Région^Latitude^Longitude
Dangé^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.93782^0.60878
Dannemarie^Gare Ferroviaire de Voyageurs^Alsace^47.62741^7.12390
Dannemarie-Velesmes^Gare Ferroviaire de Voyageurs^Franche-Comté^47.20376^5.87362
Dannes-Camiers^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.57621^1.61484
Daours^Gare Ferroviaire de Voyageurs^Picardie^49.89905^2.45884
Dardilly-le-Jubin^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.81457^4.76167
Dardilly-les-Mouilles^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.79590^4.76002
Darsac^Gare Ferroviaire de Voyageurs^Auvergne^45.14231^3.73615
Dax^Gare Ferroviaire de Voyageurs^Aquitaine^43.72081^-1.05051
Decize^Gare Ferroviaire de Voyageurs^Bourgogne^46.83745^3.46752
Dégagnac^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.65350^1.34016
Deluz^Gare Ferroviaire de Voyageurs^Franche-Comté^47.29287^6.19995
Denain^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.33479^3.38810
Dercy-Froidmont^Gare Ferroviaire de Voyageurs^Picardie^49.70273^3.69204
Dettwiller^Gare Ferroviaire de Voyageurs^Alsace^48.75170^7.46539
Deuil-Montmagny^Gare Ferroviaire de Voyageurs^Ile de France^48.97561^2.33778
Deûlémont^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.71643^2.99380
Deville^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.87955^4.70702
Diarville^Gare Ferroviaire de Voyageurs^Lorraine^48.39783^6.12632
Die^Gare Ferroviaire de Voyageurs^Rhône-Alpes^44.75813^5.36294
Diemeringen^Gare Ferroviaire de Voyageurs^Alsace^48.94100^7.18478
Dieppe^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.91679^1.08117
Dieulouard^Gare Ferroviaire de Voyageurs^Lorraine^48.84367^6.07129
Dieupentale^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.86526^1.27601
Digoin^Gare Ferroviaire de Voyageurs^Bourgogne^46.48547^3.99296
Dijon-Porte-Neuve^Gare Ferroviaire de Voyageurs^Bourgogne^47.32309^5.05516
Dijon-Ville^Gare Ferroviaire de Voyageurs^Bourgogne^47.32350^5.02588
Dinan^Gare Ferroviaire de Voyageurs^Bretagne^48.45697^-2.05298
Dingé^Gare Ferroviaire de Voyageurs^Bretagne^48.35013^-1.68583
Diou (Allier)^Gare Ferroviaire de Voyageurs^Auvergne^46.53074^3.75250
Dirinon^Gare Ferroviaire de Voyageurs^Bretagne^48.39260^-4.28559
Dissay (Vienne)^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.70374^0.42113
Distroff^Gare Ferroviaire de Voyageurs^Lorraine^49.33512^6.26022
Dives-Cabourg^Gare Ferroviaire de Voyageurs^Basse-Normandie^49.28236^-0.10986
Dives-sur-Mer-Port-Guillaume^Gare Ferroviaire de Voyageurs^Basse-Normandie^49.28920^-0.10407
Docelles-Cheniménil^Gare Ferroviaire de Voyageurs^Lorraine^48.14334^6.61017
Dol^Gare Ferroviaire de Voyageurs^Bretagne^48.54298^-1.75046
Dole-Ville^Gare Ferroviaire de Voyageurs^Franche-Comté^47.09641^5.48797
Dombasle-sur-Meurthe^Gare Ferroviaire de Voyageurs^Lorraine^48.62335^6.34354
Domblans-Voiteur^Gare Ferroviaire de Voyageurs^Franche-Comté^46.76106^5.59763
Domfront (Sarthe)^Gare Ferroviaire de Voyageurs^Pays de la Loire^48.10776^0.02602
Dommartin-Lissieu^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.84690^4.73196
Dommartin-Remiencourt^Gare Ferroviaire de Voyageurs^Picardie^49.79799^2.39189
Domont^Gare Ferroviaire de Voyageurs^Ile de France^49.03288^2.33785
Dompierre (Nord)^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.14621^3.87139
Dompierre-Sept-Fons^Gare Ferroviaire de Voyageurs^Auvergne^46.52643^3.67544
Donchery^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.69813^4.87458
Donges^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.30884^-2.07253
Donjeux^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^48.36593^5.14842
Don-Sainghin^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.55189^2.91415
Donzère^Gare Ferroviaire de Voyageurs^Rhône-Alpes^44.44276^4.70454
Dordives^Gare Ferroviaire de Voyageurs^Centre^48.14765^2.76253
Dorlisheim^Gare Ferroviaire de Voyageurs^Alsace^48.52429^7.49283
Dormans^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.07925^3.64174
Douai^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.37329^3.09077
Dourdan^Gare Ferroviaire de Voyageurs^Ile de France^48.53354^2.01016
Dourdan-la-Forêt^Gare Ferroviaire de Voyageurs^Ile de France^48.53556^1.99694
Dourges^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.43153^2.98579
Douzillac^Gare Ferroviaire de Voyageurs^Aquitaine^45.07936^0.41703
Dracy-Saint-Loup^Gare Ferroviaire de Voyageurs^Bourgogne^47.00837^4.34350
Drancy^Gare Ferroviaire de Voyageurs^Ile de France^48.93252^2.45561
Drap-Cantaron^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.75962^7.31681
Dreffeac^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.48182^-2.05032
Dreuil-lès-Amiens^Gare Ferroviaire de Voyageurs^Picardie^49.91514^2.22810
Dreux^Gare Ferroviaire de Voyageurs^Centre^48.73122^1.37065
Drusenheim^Gare Ferroviaire de Voyageurs^Alsace^48.76590^7.94738
Druye^Gare Ferroviaire de Voyageurs^Centre^47.30680^0.53547
Dunkerque^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^51.03464^2.36454
Duppigheim^Gare Ferroviaire de Voyageurs^Alsace^48.54405^7.58708
Durtol-Nohanent^Gare Ferroviaire de Voyageurs^Auvergne^45.79542^3.04883
Duttlenheim^Gare Ferroviaire de Voyageurs^Alsace^48.54559^7.56563
Ebblinghem^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.73086^2.40881
Ebersheim^Gare Ferroviaire de Voyageurs^Alsace^48.30881^7.49271
Ebersviller^Gare Ferroviaire de Voyageurs^Lorraine^49.27482^6.41135
Echirolles^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.15313^5.71913
Écommoy^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.82401^0.26940
Écouché^Gare Ferroviaire de Voyageurs^Basse-Normandie^48.71494^-0.12113
Écouen-Ézanville^Gare Ferroviaire de Voyageurs^Ile de France^49.02276^2.36290
Écouflant^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.50387^-0.51962
Écully-la-Demi-Lune^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.76596^4.77969
Égletons^Gare Ferroviaire de Voyageurs^Limousin^45.40232^2.06515
Égly^Gare Ferroviaire de Voyageurs^Ile de France^48.58241^2.22221
Éguzon^Gare Ferroviaire de Voyageurs^Centre^46.44043^1.55203
Eichhoffen^Gare Ferroviaire de Voyageurs^Alsace^48.38231^7.44986
Einvaux^Gare Ferroviaire de Voyageurs^Lorraine^48.50311^6.39275
Elbeuf-St-Aubin^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.30348^1.00926
Elne^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.59736^2.96353
Éloyes^Gare Ferroviaire de Voyageurs^Lorraine^48.08623^6.60032
Embrun^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^44.56686^6.49626
Émerainville-Pontault-Combault^Gare Ferroviaire de Voyageurs^Ile de France^48.80666^2.61740
Enchenberg^Gare Ferroviaire de Voyageurs^Lorraine^49.01604^7.33377
Enghien-les-Bains^Gare Ferroviaire de Voyageurs^Ile de France^48.97353^2.30614
Ennevelin^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.54985^3.15837
Entzheim^Gare Ferroviaire de Voyageurs^Alsace^48.54737^7.63001
Épannes^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.24486^-0.58163
Épanvilliers^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.22689^0.23591
Épernay^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.04652^3.96024
Épernon^Gare Ferroviaire de Voyageurs^Centre^48.60509^1.68168
Epfig^Gare Ferroviaire de Voyageurs^Alsace^48.36356^7.44982
Épierre-St-Léger^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.45676^6.29253
Épinal^Gare Ferroviaire de Voyageurs^Lorraine^48.17758^6.44141
Épinay-sur-Orge^Gare Ferroviaire de Voyageurs^Ile de France^48.66934^2.33224
Épinay-sur-Seine^Gare Ferroviaire de Voyageurs^Ile de France^48.95408^2.30237
Épinay-Villetaneuse^Gare Ferroviaire de Voyageurs^Ile de France^48.95849^2.32797
Épluches^Gare Ferroviaire de Voyageurs^Ile de France^49.05550^2.12346
Épône-Mézières^Gare Ferroviaire de Voyageurs^Ile de France^48.96329^1.80928
Épouville^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.56679^0.22425
Éragny-Neuville^Gare Ferroviaire de Voyageurs^Ile de France^49.01825^2.09097
Ermont-Eaubonne^Gare Ferroviaire de Voyageurs^Ile de France^48.98054^2.27276
Ermont-Halte^Gare Ferroviaire de Voyageurs^Ile de France^48.99105^2.26314
Err^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.44626^2.02761
Erstein^Gare Ferroviaire de Voyageurs^Alsace^48.42286^7.63810
Esbly^Gare Ferroviaire de Voyageurs^Ile de France^48.90314^2.81060
Escalquens^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.51682^1.54238
Escaudoeuvres^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.19254^3.27636
Esches^Gare Ferroviaire de Voyageurs^Picardie^49.21251^2.17081
Espéraza^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.93582^2.21803
Esquelbecq^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.89039^2.41202
Essonnes-Robinson^Gare Ferroviaire de Voyageurs^Ile de France^48.60618^2.46368
Estavar^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.46301^2.02327
Estrées-St-Denis^Gare Ferroviaire de Voyageurs^Picardie^49.43787^2.64266
Estressin^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.54033^4.86797
Esvres^Gare Ferroviaire de Voyageurs^Centre^47.28412^0.78157
Étain^Gare Ferroviaire de Voyageurs^Lorraine^49.20771^5.63949
Étainhus-St-Romain^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.56080^0.33055
Étalans^Gare Ferroviaire de Voyageurs^Franche-Comté^47.15585^6.27097
Étampes^Gare Ferroviaire de Voyageurs^Ile de France^48.43686^2.15900
Étang^Gare Ferroviaire de Voyageurs^Bourgogne^46.86802^4.18363
Étaples-Le Touquet^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.51692^1.64352
Étigny-Véron^Gare Ferroviaire de Voyageurs^Bourgogne^48.13807^3.28984
Étival-Clairefontaine^Gare Ferroviaire de Voyageurs^Lorraine^48.36667^6.87704
Étréchy^Gare Ferroviaire de Voyageurs^Ile de France^48.49364^2.19445
Étriché-Châteauneuf^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.65681^-0.46065
Eu^Gare Ferroviaire de Voyageurs^Haute-Normandie^50.05430^1.41691
Eu-la-Mouillette^Gare Ferroviaire de Voyageurs^Haute-Normandie^50.04882^1.42551
Eurville^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^48.58290^5.04489
Évian-les-Bains^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.39760^6.57715
Évreux-Normandie^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.01833^1.14824
Évron^Gare Ferroviaire de Voyageurs^Pays de la Loire^48.15547^-0.39719
Évry^Gare Ferroviaire de Voyageurs^Ile de France^48.63484^2.45182
Évry-Courcouronnes^Gare Ferroviaire de Voyageurs^Ile de France^48.62584^2.42960
Exideuil-sur-Vienne^Gare Ferroviaire de Voyageurs^Poitou-Charentes^45.88638^0.66680
Eygurande-Merlines^Gare Ferroviaire de Voyageurs^Limousin^45.64515^2.46058
Eymoutiers-Lac-de-Vassivière^Gare Ferroviaire de Voyageurs^Limousin^45.73963^1.74024
Eze^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.72212^7.35696
Facture Biganos^Gare Ferroviaire de Voyageurs^Aquitaine^44.63738^-0.96575
Famechon^Gare Ferroviaire de Voyageurs^Picardie^49.76756^2.04356
Farbus^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.35769^2.83114
Farébersviller^Gare Ferroviaire de Voyageurs^Lorraine^49.11809^6.86159
Faremoutiers-Pommeuse^Gare Ferroviaire de Voyageurs^Ile de France^48.80855^2.99341
Farschviller^Gare Ferroviaire de Voyageurs^Lorraine^49.08801^6.90817
Faubourg-d'Orléans^Gare Ferroviaire de Voyageurs^Centre^47.36692^1.74073
Fauga^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.40446^1.28248
Faulquemont^Gare Ferroviaire de Voyageurs^Lorraine^49.04568^6.60395
Fécamp^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.75947^0.37390
Fegersheim-Lipsheim^Gare Ferroviaire de Voyageurs^Alsace^48.49079^7.67221
Fellering^Gare Ferroviaire de Voyageurs^Alsace^47.89733^6.98729
Felletin^Gare Ferroviaire de Voyageurs^Limousin^45.88651^2.16947
Fenouillet-St-Alban^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.68407^1.40155
Fépin^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^50.02374^4.72575
Fère-en-Tardenois^Gare Ferroviaire de Voyageurs^Picardie^49.20852^3.50402
Ferrières-Fontenay^Gare Ferroviaire de Voyageurs^Centre^48.09663^2.77221
Feuquerolles^Gare Ferroviaire de Voyageurs^Picardie^50.06485^1.60491
Feuquières-Broquiers^Gare Ferroviaire de Voyageurs^Picardie^49.65444^1.83118
Feuquières-Fressenneville^Gare Ferroviaire de Voyageurs^Picardie^50.06339^1.58898
Feurs^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.74475^4.23068
Feyzin^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.66605^4.85307
Figeac^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.60288^2.03769
Firminy^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.39163^4.28541
Fismes^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.31084^3.68232
Flavy-le-Martel^Gare Ferroviaire de Voyageurs^Picardie^49.71872^3.19061
Flaxlanden^Gare Ferroviaire de Voyageurs^Alsace^47.69845^7.30421
Flers^Gare Ferroviaire de Voyageurs^Basse-Normandie^48.74438^-0.57367
Fleurieux-sur-l'Arbresle^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.84466^4.66054
Fleurville-Pont-de-Vaux^Gare Ferroviaire de Voyageurs^Bourgogne^46.45084^4.88406
Flez-Cuzy-Tannay^Gare Ferroviaire de Voyageurs^Bourgogne^47.36285^3.61517
Foëcy^Gare Ferroviaire de Voyageurs^Centre^47.17603^2.16206
Foix^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^42.96966^1.60699
Folligny^Gare Ferroviaire de Voyageurs^Basse-Normandie^48.82981^-1.40755
Fons-St-Mamert^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.90733^4.20663
Fontainebleau-Avon^Gare Ferroviaire de Voyageurs^Ile de France^48.41621^2.72679
Fontaine-le-Port^Gare Ferroviaire de Voyageurs^Ile de France^48.48712^2.75323
Fontaines-d'Ozillac^Gare Ferroviaire de Voyageurs^Poitou-Charentes^45.38756^-0.38396
Fontaines-Mercurey^Gare Ferroviaire de Voyageurs^Bourgogne^46.85127^4.77495
Fontan-Saorge^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.99700^7.55162
Fontenay-le-Fleury^Gare Ferroviaire de Voyageurs^Ile de France^48.80710^2.04125
Fontenoy-sur-Moselle^Gare Ferroviaire de Voyageurs^Lorraine^48.71140^5.97988
Fontpédrouse-St-Thomas-les-Bains^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.51497^2.19086
Font-Romeu-Odeillo-Via^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^42.49094^2.04278
Forbach^Gare Ferroviaire de Voyageurs^Lorraine^49.18948^6.90043
Forges-les-Eaux^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.61386^1.55326
Formerie^Gare Ferroviaire de Voyageurs^Picardie^49.65468^1.72370
Fors^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.23461^-0.40671
Fos-sur-Mer^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.42800^4.97489
Foucart-Alvimare^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.60832^0.59693
Fouday^Gare Ferroviaire de Voyageurs^Alsace^48.42479^7.18725
Foug^Gare Ferroviaire de Voyageurs^Lorraine^48.67919^5.79138
Fougeray-Langon^Gare Ferroviaire de Voyageurs^Bretagne^47.73023^-1.85118
Fougeré^Gare Ferroviaire de Voyageurs^Pays de la Loire^46.66519^-1.23195
Fouilloy^Gare Ferroviaire de Voyageurs^Picardie^49.73697^1.82678
Fouquereuil^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.52548^2.60721
Fourchambault^Gare Ferroviaire de Voyageurs^Bourgogne^47.01917^3.08732
Fourmies^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.01542^4.05374
Fours^Gare Ferroviaire de Voyageurs^Bourgogne^46.82370^3.72337
Fraisse-Unieux^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.39499^4.26082
Francheville^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.73139^4.77028
Franconville-Plessis-Bouchard^Gare Ferroviaire de Voyageurs^Ile de France^48.99356^2.23499
Franois^Gare Ferroviaire de Voyageurs^Franche-Comté^47.22745^5.93752
Frasne^Gare Ferroviaire de Voyageurs^Franche-Comté^46.85784^6.15770
Freistroff^Gare Ferroviaire de Voyageurs^Lorraine^49.27760^6.49083
Fréjus^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.43172^6.73328
Fréjus-St-Raphaël^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.42879^6.75500
Saint-Sébastien-Frêne-Rond^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.19057^-1.49604
Frénouville-Cagny^Gare Ferroviaire de Voyageurs^Basse-Normandie^49.14043^-0.25843
Frépillon^Gare Ferroviaire de Voyageurs^Ile de France^49.04579^2.19711
Fresnoy-le-Grand^Gare Ferroviaire de Voyageurs^Picardie^49.95014^3.43260
Fressies^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.25087^3.18925
Fréteval-Morée^Gare Ferroviaire de Voyageurs^Centre^47.89204^1.21188
Fretin (Nord)^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.56107^3.14840
Frévin-Capelle^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.34723^2.63452
Fromental^Gare Ferroviaire de Voyageurs^Limousin^46.17131^1.43246
Froncles-Buxières^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^48.29664^5.14160
Frontenex^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.63060^6.31432
Frontignan^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.44459^3.75902
Fronville-St-Urbain^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^48.40132^5.15608
Frouard^Gare Ferroviaire de Voyageurs^Lorraine^48.75539^6.14465
Frynaudour^Gare Ferroviaire de Voyageurs^Bretagne^48.72816^-3.12861
Fumay^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.98622^4.69200
Futuroscope^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.67023^0.37811
Gadagne^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.92986^4.95693
Gagny^Gare Ferroviaire de Voyageurs^Ile de France^48.88348^2.52649
Gaillac^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.90612^1.89441
Gaillon-Aubevoye^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.17468^1.35263
Gallargues^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.71601^4.17105
Galuzot^Gare Ferroviaire de Voyageurs^Bourgogne^46.64246^4.33008
Gambsheim^Gare Ferroviaire de Voyageurs^Alsace^48.69492^7.87890
Gammal^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.27041^4.14666
Gan^Gare Ferroviaire de Voyageurs^Aquitaine^43.23429^-0.39148
Gandrange-Amnéville^Gare Ferroviaire de Voyageurs^Lorraine^49.26089^6.13580
Gannat^Gare Ferroviaire de Voyageurs^Auvergne^46.09760^3.20487
Gannes^Gare Ferroviaire de Voyageurs^Picardie^49.57211^2.43703
Gap^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^44.56363^6.08539
Garancières-la-Queue^Gare Ferroviaire de Voyageurs^Ile de France^48.81042^1.76458
Garches-Marnes-la-Coquette^Gare Ferroviaire de Voyageurs^Ile de France^48.83798^2.18668
Garchizy^Gare Ferroviaire de Voyageurs^Bourgogne^47.04299^3.08584
Gardanne^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.45636^5.46348
Gardonne^Gare Ferroviaire de Voyageurs^Aquitaine^44.83468^0.33194
Champagne Ardenne TGV^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.21446^3.99359
Lorraine TGV^Gare Ferroviaire de Voyageurs^Lorraine^48.95081^6.17043
Meuse TGV^Gare Ferroviaire de Voyageurs^Lorraine^48.98017^5.27182
Gargenville^Gare Ferroviaire de Voyageurs^Ile de France^48.98307^1.80921
Garges^Gare Ferroviaire de Voyageurs^Ile de France^48.97685^2.39083
Gauriaguet^Gare Ferroviaire de Voyageurs^Aquitaine^45.05431^-0.39929
Gazeran^Gare Ferroviaire de Voyageurs^Ile de France^48.62596^1.77085
Gazinet-Cestas^Gare Ferroviaire de Voyageurs^Aquitaine^44.77220^-0.69914
Geispolsheim^Gare Ferroviaire de Voyageurs^Alsace^48.52191^7.68535
Gemeaux^Gare Ferroviaire de Voyageurs^Bourgogne^47.47781^5.13009
Genech^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.52840^3.22098
Génelard^Gare Ferroviaire de Voyageurs^Bourgogne^46.58107^4.23777
Générac^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^43.73298^4.34415
Genlis^Gare Ferroviaire de Voyageurs^Bourgogne^47.24448^5.22387
Gennevilliers^Gare Ferroviaire de Voyageurs^Ile de France^48.93339^2.30749
Génolhac^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.34802^3.95182
Germaine^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^49.12795^4.02250
Gertwiller^Gare Ferroviaire de Voyageurs^Alsace^48.41330^7.46592
Gerzat^Gare Ferroviaire de Voyageurs^Auvergne^45.83313^3.14304
Gestel^Gare Ferroviaire de Voyageurs^Bretagne^47.80311^-3.44336
Gevrey-Chambertin^Gare Ferroviaire de Voyageurs^Bourgogne^47.22737^4.99878
Gien^Gare Ferroviaire de Voyageurs^Centre^47.69888^2.63675
Gièvres^Gare Ferroviaire de Voyageurs^Centre^47.27917^1.66856
Gignac-Cressensac^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^45.01474^1.48326
Gilles-Guainville^Gare Ferroviaire de Voyageurs^Centre^48.91499^1.50557
Gilley^Gare Ferroviaire de Voyageurs^Franche-Comté^47.05046^6.49255
Gilly-sur-Loire^Gare Ferroviaire de Voyageurs^Bourgogne^46.53666^3.78334
Gironde^Gare Ferroviaire de Voyageurs^Aquitaine^44.58334^-0.09246
Gisors^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.28526^1.78505
Givet^Gare Ferroviaire de Voyageurs^Champagne-Ardenne^50.14025^4.81799
Givors-Canal^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.59594^4.77215
Givors-Ville^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.58537^4.76625
Glos-Montfort^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.27362^0.68187
Golfech^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.11620^0.85383
Golfe-Juan-Vallauris^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.56615^7.07317
Goncelin^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.34203^5.97387
Gonfaron^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.31692^6.28166
Gorges^Gare Ferroviaire de Voyageurs^Pays de la Loire^47.10779^-1.31374
La Gouesnière-Cancale^Gare Ferroviaire de Voyageurs^Bretagne^48.61437^-1.90597
Gourdon^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.74181^1.38955
Gourland^Gare Ferroviaire de Voyageurs^Bretagne^48.55995^-3.16609
Gournay-Ferrières^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.48118^1.73865
Goussainville^Gare Ferroviaire de Voyageurs^Ile de France^49.02405^2.46350
Goxwiller^Gare Ferroviaire de Voyageurs^Alsace^48.43260^7.47872
Graffenstaden^Gare Ferroviaire de Voyageurs^Alsace^48.53336^7.69011
Graffenwald^Gare Ferroviaire de Voyageurs^Alsace^47.78030^7.22559
Gragnague^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.69580^1.56757
Grainville-Ymauville^Gare Ferroviaire de Voyageurs^Haute-Normandie^49.65609^0.40711
Gramat^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^44.77312^1.72305
Grand-Bourg^Gare Ferroviaire de Voyageurs^Ile de France^48.64800^2.43610
Grand-Combe-La-Pise^Gare Ferroviaire de Voyageurs^Languedoc-Roussillon^44.20994^4.03347
Grande-Synthe^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^51.00231^2.31215
Grand-Pont-Preuilly^Gare Ferroviaire de Voyageurs^Poitou-Charentes^46.63429^0.35971
Grandvilliers^Gare Ferroviaire de Voyageurs^Picardie^49.65931^1.93883
Granville^Gare Ferroviaire de Voyageurs^Basse-Normandie^48.83884^-1.58678
Grasse^Gare Ferroviaire de Voyageurs^Provence-Alpes-CA^43.65385^6.92676
Gravelines^Gare Ferroviaire de Voyageurs^Nord Pas de Calais^50.97850^2.12594
Gravigny-Balizy^Gare Ferroviaire de Voyageurs^Ile de France^48.68623^2.31760
Grenoble^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.19149^5.71422
Grenoble-Université-Gières^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.18513^5.78552
Gresswiller^Gare Ferroviaire de Voyageurs^Alsace^48.53300^7.42465
Grésy-sur-Aix^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.72425^5.92182
Grésy-sur-Isère^Gare Ferroviaire de Voyageurs^Rhône-Alpes^45.59447^6.25866
Gretz-Armainvilliers^Gare Ferroviaire de Voyageurs^Ile de France^48.74533^2.72865
Grigny-Centre^Gare Ferroviaire de Voyageurs^Ile de France^48.65107^2.39391
Grigny-Val-de-Seine^Gare Ferroviaire de Voyageurs^Ile de France^48.66854^2.39704
Grisolles^Gare Ferroviaire de Voyageurs^Midi-Pyrénées^43.82651^1.30270
Groisy-Thorens-la-Caille^Gare Ferroviaire de Voyageurs^Rhône-Alpes^46.01053^6.17494
Groslay^Gare Ferroviaire de Voyageurs^Ile de France^48.98474^2.35434
