#UIC_CODE,DESCRIPTION,NLS_CODE,PHYSICAL,
8711385,LES PAVILLONS SOUS BOIS,FRAJE,Y
8711386,GARGAN,FRAJF,Y
8711387,ALLEE DE LA TOUR RENDEZ VOUS,FRAJG,Y
8711388,L'ABBAYE,FRAJH,Y
8711389,FREINVILLE SEVRAN,FRAJI,Y
8711436,BOUTIQUE FONTENAY,FRAJM,Y
8711511,VICQ SUR BREUILH,FRAJS,Y
8711512,ST HILAIRE BONNEVAL,FRAJU,Y
8711513,BOISSEUIL,FRAJV,Y
8711523,MORSAINS EGLISE,FRMOS,Y
8711524,MOEURS N4,FRMOE,Y
8711528,LA NOUE BEAUVAIS N4,FRNBV,Y
8711529,LIVERDY EN BRIE,FRCVH,Y
8711533,AZAY SUR INDRE,FRAJY,Y
8711534,NOGENT SUR LOIR,FRAJZ,Y
8711587,CHAMPBENOIST POIGNY,FRAKC,Y
8711601,GRETZ ARMAINVILLIERS,FRGRZ,Y
8711602,OZOIR LA FERRIERE,FRAKD,Y
8711603,ROISSY EN BRIE,FRAKE,Y
8711604,EMERAINVILLE PONTAULT COMBAULT,FRAKF,Y
8711605,VILLEPATOUR PRESLES,FRAKG,Y
8711606,OZOUER LE VOULGIS,FRAKH,Y
8711607,VERNEUIL L'ETANG,FRAKI,Y
8711608,MORMANT,FRAKJ,Y
8711609,NANGIS,FRAKK,Y
8711610,MEAUX,FRAKL,Y
8711611,CHELLES GOURNAY,FRAKM,Y
8711613,LONGUEVILLE,FRLON,Y
8711616,PROVINS,FRXPS,Y
8711617,STE COLOMBE SEPTVEILLES,FRAKO,Y
8711621,TOURNAN,FRAKQ,Y
8711622,MARLES EN BRIE,FRAKR,Y
8711624,MORTCERF,FRAKS,Y
8711626,GUERARD LA CELLE SUR MORIN,FRAKT,Y
8711627,FAREMOUTIERS POMMEUSE,FRAKU,Y
8711628,MOUROUX,FRAKV,Y
8711629,VAIRES TORCY,FRAKW,Y
8711630,COULOMMIERS,FRAKX,Y
8711631,LAGNY THORIGNY,FRAKY,Y
8711632,ESBLY,FRAKZ,Y
8711634,CHAILLY BOISSY-LE-CHATEL,FRALA,Y
8711635,CHAUFFRY,FRALD,Y
8711636,ST SIMEON,FRALF,Y
8711637,ST REMY LA VANNE,FRALG,Y
8711638,JOUY SUR MORIN LE MARAIS,FRALH,Y
8711639,LA FERTE GAUCHER,FRALI,Y
8711640,MONTRY CONDE,FRALJ,Y
8711646,JOISELLE,FRJSL,Y
8711647,NEUVY,FRNVY,Y
8711648,ESTERNAY,FRESA,Y
8711649,TRILPORT,FRTLP,Y
8711650,CHANGIS ST JEAN,FRALK,Y
8711651,LA FERTE SOUS JOUARRE,FRALN,Y
8711654,SEZANNE,FRSZA,Y
8711655,NANTEUIL SAACY,FRALO,Y
8711656,NOGENT L'ARTAUD CHARLY,FRALP,Y
8711657,CHEZY SUR MARNE,FRALQ,Y
8711658,CHATEAU THIERRY,FRXCY,Y
8711661,ISLES ARMENTIERES CONGIS,FRALR,Y
8711663,LIZY SUR OURCQ,FRALS,Y
8711664,CROUY SUR OURCQ,FRALU,Y
8711666,MAREUIL SUR OURCQ,FRALW,Y
8711667,LA FERTE MILON,FRALX,Y
8711668,NEUILLY ST FRONT,FRALY,Y
8711669,OULCHY BRENY,FRALZ,Y
8711673,COUILLY ST GERMAIN QUINCY,FRAMC,Y
8711674,VILLIERS MONTBARBIN,FRAMD,Y
8711677,CRECY EN BRIE LA CHAPELLE,FRAME,Y
8711683,YEBLES GUIGNES,FRYBG,Y
8711685,MONTMIRAIL,FRMTM,Y
8711689,LES CHAMPS FORTS,FRAMF,Y
8711710,COURQUETAINE,FRAFC,Y
8711711,AUXON EGLISE,FRAMH,Y
8711713,REHAINVILLER,FRAMI,Y
8711714,ST PIERREMONT,FRAMJ,Y
8711716,LEINTREY,FRAMK,Y
8711717,AMENONCOURT,FRAML,Y
8711719,MONTIGNY LES VESOUL,FRBNF,Y
8711720,CHARIEZ,FRBNH,Y
8711721,CORLEE,FRAMQ,Y
8711722,HEUILLEY LE GRAND,FRAMS,Y
8711723,CHASSIGNY,FRAMT,Y
8711724,DOMMARIEN,FRAMU,Y
8711726,ORVILLE,FRAMV,Y
8711727,TORCENAY,FRAMW,Y
8711728,ROSOY SUR AMANCE,FRAMX,Y
8711730,BIZE,FRAMY,Y
8711731,ANROSEY,FRAMZ,Y
8711732,PISSELOUP,FRANA,Y
8711733,BETONCOURT SUR MANCE,FRANB,Y
8711734,VERNOIS SUR MANCE,FRANC,Y
8711736,BLONDEFONTAINE,FRANF,Y
8711737,RAINCOURT,FRANH,Y
8711738,GEVIGNEY,FRANI,Y
8711739,BAULAY,FRANJ,Y
8711740,AMONCOURT,FRANK,Y
8711741,CHAUX LES PORT,FRANL,Y
8711742,CHARMOILLE,FRANM,Y
8711743,PUSEY,FRANN,Y
8711744,MARTIGNY LES GERBONVAUX,FRANO,Y
8711745,AUTREVILLE,FRANP,Y
8711746,BARISEY AU PLAIN/ALLAMPS,FRANQ,Y
8711747,MONT LE VIGNOBLE,FRANR,Y
8711749,HESTROFF,FRANS,Y
