#office_id	name
PAR1A288A	AMADEUS FRANCE SERVICES E RETAIL
KULMY28LL	AMADEUS GDS (MALAYSIA) SDN BHD
SINGP28AU	AMADEUS GDS E-TRAVEL PDT TEST SITE
FRA1A098K	AMADEUS GERMANY GMBH
FRAL128CJ	AMADEUS GERMANY GMBH
JNB1A0980	AMADEUS HELP DESK
BUD1A098H	AMADEUS HUNGARY HELP-DESK
DUB1A0900	AMADEUS IRELAND TRAINING
MILIG28EW	AMADEUS ITALIA - AERGO
RIX1A0980	AMADEUS LATVIJA
VNO1A0980	AMADEUS LITHUANIA
PRG1A0980	AMADEUS MARKETING CSA
MILIG28EQ	AMADEUS MARKETING ITALIA
MEX1A08AA	AMADEUS MEXICO HELP DESK
JNBZA28AD	AMADEUS NMC JOHANNESBURG
SYD1A0980	AMADEUS PACIFIC - CSC NSW AU
SYDA828GV	AMADEUS PACIFIC +IBE TEST OFFICE
WAW1A0980	AMADEUS POLSKA SP. Z O. O.
WAWPQ28AF	AMADEUS POLSKA-TESTOWE BIURO PODROZY
MIA1A09PM	AMADEUS PRODUCT MANAGEMENT
NCE1A0950	AMADEUS PRODUCT PLANNING
OSL1A0980	AMADEUS SCANDINAVIA
STO1A0980	AMADEUS SCANDINAVIA
CPHS12810	AMADEUS SCANDINAVIA - INTERNET
VXOS12100	AMADEUS SCANDINAVIA TEST OFFICE
NCE1A0990	AMADEUS SERVICE MANAGEMENT CENTRE
LONU128AB	AMADEUS SERVICES
STOS12810	AMADEUS SWEDEN AB/ACE-VISTA PLUS ACE
AMS1A0981	AMADEUS THE NETHERLANDS
PRG1A0900	AMADEUS TRAINING CENTRE
MIA1A091C	AMADEUS TRAINING SERVICES
LONU128AK	AMADEUS UK AERGO V4 TEST OFFICE
CCSV128AL	AMADEUS VENEZUELA
MIA1S38AJ	AMERICA TRAVEL
MADAX28AA	AMERICAN EXPRESS
MADAX28AB	AMERICAN EXPRESS
MADAX28AC	AMERICAN EXPRESS
ZRHAX28AP	AMERICAN EXPRESS
LUXBY28LU	AMERICAN EXPRESS
SZGAX28AP	AMERICAN EXPRESS
CPHNA2801	AMERICAN EXPRESS
CPHNA2803	AMERICAN EXPRESS
CPHNA28AB	AMERICAN EXPRESS
CPHNA28AC	AMERICAN EXPRESS
